clause;activity;extended_activity;generated_activity_active_passive;generated_activity_SRL;generated_activity_combined
We wait for the customer ; wait for customer ; wait for customer ;wait;wait we;wait we
The PayPal system sends a message with this information to the client bank account; send message ; send message ;send message;send message with information;send message with information
First the party is notified about a data validation error; notify party ;notify party;notify party;notify party;notify party
Next the drop off tech checks for typos; check for typos ; check for typos ;check;;check
The technician checks if the customer can correct the mistake; check if customer can correct the mistake ; check if customer can correct the mistake ;check;correct mistake;correct mistake
In the other case public sources are scoured for solutions; scour public sources for solutions ;scour for solutions;scour public sources;scour for solutions;scour for solutions
When the company is notified about a data validation error; notify company ;notify company;notify company;notify company;notify company
Thereafter the drop off tech checks for typos; check for typos ; check for typos ;drop tech checks;;drop tech checks
The technician checks if the customer can correct the mistake; check if customer can correct the mistake ;correct mistake;check;correct mistake;correct mistake
Otherwise public sources are scoured for solutions; scour public sources for solutions ;scour for solutions;scour public sources;scour for solutions;scour for solutions
Initially the party is notified about a data validation error; notify party ;notify party;notify party;notify party;notify party
To determine the desired account type; determine desired account type ;determine desired account type;determine desired account type;determine desired account type;determine desired account type
Later the client should enter login details such as email address and desired password personal details such as name and date of birth as well as his telephone number and address; enter login details ;enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address;enter login details;enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address;enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address
The client clicks the create account button; click create button ;click create account button;click create account button;click create account button;click create account button
The details will be sent to the paypal system; send details to Paypal system ;send details;send details;send details;send details
Thereafter the system will validate the input fields; validate input details ;validate input fields;validate input fields;validate input fields;validate input fields
The client will be notified; notify client ;notify client;notify client;notify client;notify client
A welcome email will be generated and sent; generate and send welcome mail ;generate welcome email;generate welcome email;generate welcome email;generate welcome email
To create a paypal account; create paypal account ;create paypal account;create paypal account;create paypal account;create paypal account
Thereafter the client should enter login details such as email address and desired password personal details such as name and date of birth as well as his telephone number and address; enter login details ;enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address;enter login details;enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address;enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address
After that the system will validate the input fields; validate input details ;validate input fields;validate input fields;validate input fields;validate input fields
When a customer order is received; receive customer order ;receive customer order;receive customer order;receive customer order;receive customer order
An order is send to the warehouse; send order to warehouse ;send order;send order;send order;send order
When an order is processed; process order ;process order;process order;process order;process order
In the next step the warehouse employees determine the parts required; determine required parts ; determine required parts ;determine;determine parts required;determine parts required
After production quality checks will be performed; perform quality checks ;perform production quality checks;perform quality checks;perform production quality checks;perform production quality checks
Later the products will be packaged and labeled; package and label products ;package products;package products;package products;package products
Next the products return to the warehouse; return products to warehouse ;return products to warehouse;return;return products;return products
When sales will be informed about the completed production; inform sales ;inform sales;inform sales;inform sales;inform sales
The product can be sold to the customer; sell product to customer ;sell product to customer;sell product;sell product;sell product
Then the order is processed; process order ;process order;process order;process order;process order
Subsequently the order is send to the warehouse; send order to warehouse ;send order to warehouse;send order;send order;send order
The warehouse employees determine the parts required; determine required parts ; determine required parts ;determine;determine parts required;determine parts required
Before the marketing team will prepare a portfolio presentation; prepare portfolio presentation ;prepare portfolio presentation;prepare portfolio presentation;prepare portfolio presentation;prepare portfolio presentation
The marketing team will perform a market analysis; perform market analysis ;perform market analysis;perform market analysis;perform market analysis;perform market analysis
Once the marketing team sends out offers to potential clients; send out offers to potential clients ;send out offers to potential clients;send out offers;send out offers to potential clients;send out offers to potential clients
The marketing team informs management about the responses; inform management about responses ; inform management about responses ;inform management;inform management;inform management
Management then starts negotiations by; start negotiations ;start negotiations;start negotiations;start negotiations;start negotiations
Management will prepare a contract; prepare contract ;prepare contract;prepare contract;prepare contract;prepare contract
Organizing an informational meeting among the web design team; organize informational meeting ;organize informational meeting among web design team;organize informational meeting;organize informational meeting among web design team;organize informational meeting among web design team
Creating a storyboard; create storyboard ;create storyboard;create storyboard;create storyboard;create storyboard
In the next step an agreement on the storyboard is closed; close agreement ;close agreement on storyboard;close agreement;close agreement on storyboard;close agreement on storyboard
To prepare an initial draft of the content; prepare initial draft of content ;prepare initial draft of content;prepare initial draft;prepare initial draft of content;prepare initial draft of content
The marketing team will conduct a review of the draft; conduct review of the draft ;conduct review of draft;conduct review;conduct review of draft;conduct review of draft
Later the web design team creates the final version of the content; create final version of content ;create final version of content;create final version;create final version of content;create final version of content
Then the website will be built and reviewed; build and review website ;build website;build website;build website;build website
After an agreement on the storyboard is closed; close agreement ;close agreement on storyboard;close;close agreement on storyboard;close agreement on storyboard
Working on the design and development of the website; work on design and development of website ;work on design and development of website;work;work on design and development of website;work on design and development of website
To prepare an initial draft of the content; prepare initial draft of content ;prepare initial draft of content;prepare initial draft;prepare initial draft of content;prepare initial draft of content
Next the web design team creates the final version of the content; create final version of content ;create final version of content;create final version;create final version of content;create final version of content
In the next step the website will be built and reviewed; build and review website ; review website ;build website;build website;build website
Afterwards an agreement on the storyboard is closed; close agreement ;close agreement on storyboard;close agreement;close agreement on storyboard;close agreement on storyboard
The marketing team will conduct a market analysis ; conduct market analysis ;conduct market analysis;conduct market analysis;conduct market analysis;conduct market analysis
The web design team then creates the final version of the content;  create final version of content ;create final version of content;create final version;create final version of content;create final version of content
To inform the customer about a potential delay; inform customer about potential delay ; inform customer about potential delay ;inform customer;inform customer;inform customer
Then the staff recollects all products; recollect parts ;recollect products;recollect products;recollect products;recollect products
Next the staff prepares a package; prepare package ;prepare package;prepare package;prepare package;prepare package
The courier is then informed about the pre processed package; inform courier ;inform courier;inform courier;inform courier;inform courier
Before the package is picked up by the designed driver; pick up package ;pick up package;pick up package;pick up package;pick up package
To process the delivery; process delivery ;process delivery;process delivery;process delivery;process delivery
Before the package is delivered; deliver package ;deliver package;deliver package;deliver package;deliver package
A centralized service decides the best route; decide best route ;decide best route;decide best route;decide best route;decide best route
To deliver all packages of the driver; deliver package ;deliver packages of driver;deliver packages;deliver packages of driver;deliver packages of driver
The driver should update the system; update system ;update system;update system;update system;update system
So all stakeholders are notified; notify all stakeholders ;notify all stakeholders;notify stakeholders;notify stakeholders;notify stakeholders
Reviewing the order; review order ;review order;review order;review order;review order
The staff should check if all the requested items are available; check if all requested items are available ;check if all requested items are available;check;check if all requested items are available;check if all requested items are available
After that the staff recollects all products; recollect all products ; recollect all products ;recollect products;recollect products;recollect products
After that the staff prepares a package; prepare package ;prepare package;prepare package;prepare package;prepare package
The courier is then informed about the pre processed package; inform courier ;inform courier;inform courier;inform courier;inform courier
Before the package is picked up by the designed driver; pick up package ;pick up package;pick up package;pick up package;pick up package
The courier company informs the client about a potential delay; inform client about potential delay ; inform client about potential delay ;inform client;inform client;inform client
the callover is deferred to the next available slot; defer callover to next available slot ; defer callover to next available slot ;defer callover;defer callover;defer callover
on the callover day, the callover material is prepared; prepare callover material ;prepare callover material;prepare callover material;prepare callover material;prepare callover material
the callover is held; hold callover ;hold callover;hold callover;hold callover;hold callover
The ISP sends an invoice by email to the customer on the first working day of each month ; send invoice ;send invoice;send invoice;send invoice;send invoice
On Day 7, the customer has the full outstanding amount automatically debited from their bank account; debit outstanding amount ; debit outstanding amount ;have full outstanding amount;have full outstanding amount automatically debited from bank account;have full outstanding amount automatically debited from bank account
the customer is notified on Day 8; notify customer ;notify customer;notify customer;notify customer;notify customer
on Day 10 a late fee is charged to the bank account of the customer; charge late fee ;charge late fee;charge late fee;charge late fee;charge late fee
On Day 14, the Internet service is suspended; suspend internet service ;suspend internet service;suspend internet service;suspend internet service;suspend internet service
payment is received; receive payment ;receive payment;receive payment;receive payment;receive payment
the account is closed; close account ;close account;close account;close account;close account
a disconnection fee is applied; apply disconnection fee ;apply disconnection fee;apply disconnection fee;apply disconnection fee;apply disconnection fee
a debt-recovery procedure is then started; start deb-recovery procedure ;start debt - recovery procedure;start recovery procedure;start debt - recovery procedure;start debt - recovery procedure
A restaurant chain submits a purchase order to replenish its warehouses every Thursday; submit purchase order ;submit purchase order to replenish warehouses thursday;submit purchase order;submit purchase order to replenish warehouses thursday;submit purchase order to replenish warehouses thursday
