structured_description;solution
<act>back up database</act> . After<act>after</act> to see whether the account defaulters table has new records, <act>find new records</act>. If new returns exist, <act>default accounts</act>. If the defaulting client codes have not been previously advised, <act>produce table of defaulting accounts</act>. All of this must be completed by 2:30 pm. If it is not, <act>send alert</act>. Once<act>complete new defaulting account report</act>, <act>check crm system</act> to see whether new returns have been filed. If new returns have been filed, <act>exist account defaulters table</act>. This must be completed by 4:00 pm . <act>send message</act>.; <act> back up database </act> <act> check Account Defaulters table </act>  <path1><act> register all defaulting accounts and customers </act></path1><path2><act> produce another table of defaulting accounts </act></path2>  <path1><act> send alert </act></path1> <act> check CRM system </act> <path1><act> reconcile with existing account defaulters table </act></path1>  <path1><act> send message </act></path1>
After the process starts, <act>perform task</act> to locate and distribute any relevant existing designs, both electrical and physical. Before new records are found, <act>check</act> to see whether the account defaulters table has new records. If new returns exist, <act>default accounts</act>. Whenever the defaulting client codes have not been previously advised, <act>produce table of defaulting accounts</act>. All of this must be completed by 2:30 pm. If it is not, <act>send alert</act>. Once<act>complete new defaulting account report</act>, <act>check crm system</act> to see whether new returns have been filed. If new returns have been filed, <act>exist account defaulters table</act>. This must be completed by 4:00 pm . <act>send message</act>.; <act> locate and distribute any relevant existing designs </act>  <act> check Account Defaulters table </act> <path1><act> register all defaulting accounts and customers </act></path1><path2><act> produce another table of defaulting accounts </act></path2>  <path1><act> send alert </act></path1> <act> check CRM system </act> <path1><act> reconcile with existing account defaulters table </act></path1>  <path1><act> send message </act></path1>
After the process starts, <act>perform task</act> to locate and distribute any relevant existing designs, both electrical and physical. Once the design of the electrical and physical systems starts in parallel, <act>find new records</act>. Whenever new returns exist, <act>default accounts</act>. In case the defaulting client codes have not been previously advised, <act>produce table of defaulting accounts</act>. All of this must be completed by 2:30 pm. If it is not, <act>send alert</act>. Once<act>complete new defaulting account report</act>, <act>check crm system</act> to see whether new returns have been filed. If new returns have been filed, <act>exist account defaulters table</act>. This must be completed by 4:00 pm . <act>send message</act>.; <act> locate and distribute any relevant existing designs </act>   <path1><act> register all defaulting accounts and customers </act></path1><path2><act> produce another table of defaulting accounts </act></path2>  <path1><act> send alert </act></path1> <act> check CRM system </act> <path1><act> reconcile with existing account defaulters table </act></path1>  <path1><act> send message </act></path1>
After the process starts, <act>perform task</act> to locate and distribute any relevant existing designs, both electrical and physical. Before new records are found, <act>check</act> to see whether the account defaulters table has new records. If new returns exist, <act>default accounts</act>. In case the defaulting client codes have not been previously advised, <act>produce table of defaulting accounts</act>. All of this must be completed by 2:30 pm. In case this is not, <act>send alert</act>. Once<act>complete new defaulting account report</act>, <act>check crm system</act> to see whether new returns have been filed. If new returns have been filed, <act>exist account defaulters table</act>. This must be completed by 4:00 pm . <act>send message</act>.; <act> locate and distribute any relevant existing designs </act>  <act> check Account Defaulters table </act> <path1><act> register all defaulting accounts and customers </act></path1><path2><act> produce another table of defaulting accounts </act></path2>  <path1><act> send alert </act></path1> <act> check CRM system </act> <path1><act> reconcile with existing account defaulters table </act></path1>  <path1><act> send message </act></path1>
After the process starts, <act>perform task</act> to locate and distribute any relevant existing designs, both electrical and physical. After that,<act>after</act> to see whether the account defaulters table has new records. Afterwards, new records are found. Whenever new returns exist, <act>default accounts</act>. Whenever the defaulting client codes have not been previously advised, <act>produce table of defaulting accounts</act>. All of this must be completed by 2:30 pm. If it is not, <act>send alert</act>. Once<act>complete new defaulting account report</act>, <act>check crm system</act> to see whether new returns have been filed. If new returns have been filed, <act>exist account defaulters table</act>. This must be completed by 4:00 pm . <act>send message</act>.; <act> locate and distribute any relevant existing designs </act> <act> check Account Defaulters table </act>  <path1><act> register all defaulting accounts and customers </act></path1><path2><act> produce another table of defaulting accounts </act></path2>  <path1><act> send alert </act></path1> <act> check CRM system </act> <path1><act> reconcile with existing account defaulters table </act></path1>  <path1><act> send message </act></path1>
Initially<act>receive expense report</act>. Then<act>create new account</act>. <act>review report</act>. <act>send email</act> must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>
Initially<act>receive expense report</act>. After that,<act>create new account</act>. <act>review report</act>. <act>send email</act> must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>
First<act>receive expense report</act>. In the next step,<act>create new account</act>. <act>review report</act>. <act>send email</act> must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>
The process starts when<act>receive expense report</act>. Later<act>create new account</act>. <act>review report</act>. <act>send email</act> must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>
First<act>receive expense report</act>. In the next step,<act>create new account</act>. <act>review report</act>. <act>send email</act> must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>
Once the dates are finalized (by the coordination unit), <act>update group calendars</act>. After<act>create meeting folders for meeting</act> , <act>produce minutes including action points for committee member</act>s. <act>update departmental records</act>.; <act> finalize dates </act> <act> update all group calendars </act> <act> create meeting folders </act>  <act> upload all appropriate documents to the system </act> <act> hold meeting </act> <act> read all related documents </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>
Once the dates are finalized (by the coordination unit), <act>update group calendars</act>. Before <act>produce minutes including action points for committee member</act>s. <act>update departmental records</act>.; <act> finalize dates </act> <act> update all group calendars </act> <act> upload all appropriate documents to the system </act> <act> create meeting folders </act>  <act> hold meeting </act> <act> read all related documents </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>
Once the dates are finalized (by the coordination unit), <act>update group calendars</act>. Once<act>create meeting folders for meeting</act> , <act>produce minutes including action points for committee member</act>s. <act>update departmental records</act>.; <act> finalize dates </act> <act> update all group calendars </act> <act> create meeting folders </act>  <act> upload all appropriate documents to the system </act> <act> hold meeting </act> <act> read all related documents </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>
Once the dates are finalized (by the coordination unit), <act>update group calendars</act>. Before <act>produce minutes including action points for committee member</act>s. <act>update departmental records</act>.; <act> finalize dates </act> <act> update all group calendars </act> <act> upload all appropriate documents to the system </act> <act> create meeting folders </act>  <act> hold meeting </act> <act> read all related documents </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>
Once the dates are finalized (by the coordination unit), <act>update group calendars</act>. Before <act>produce minutes including action points for committee member</act>s. <act>update departmental records</act>.; <act> finalize dates </act> <act> update all group calendars </act> <act> upload all appropriate documents to the system </act> <act> create meeting folders </act>  <act> read all related documents </act> <act> hold meeting </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>
First,<act>draft schedule of meetings for next calendar year</act>. Thereafter<act>add draft dates</act>. <act>check dates</act> . Next the support officer suggests modifications. Later<act>recheck dates</act> . When<act>look for potential conflicts</act>, <act>send final schedule of meeting dates</act>. Once<act>check diaries of independent members</act> , <act>advise coordination unit of conflicts</act>.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> suggest modifications </act> <act> recheck all dates </act> <act> look for potential conflicts </act> <act> send final schedule of meeting dates </act> <act> check diaries </act> <act> advise Coordination Unit </act>
The process starts when<act>draft schedule of meetings</act>. After that,<act>add draft dates</act>. <act>check dates</act> . When the support officer suggests modifications, <act>recheck dates</act> . Before<act>send final schedule of meeting dates</act>, <act>look for potential conflicts</act>. <act>check diaries</act> . <act>advise coordination unit of conflicts</act>.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> suggest modifications </act> <act> recheck all dates </act> <act> send final schedule of meeting dates </act> <act> look for potential conflicts </act> <act> check diaries </act> <act> advise Coordination Unit </act>
The process starts when<act>draft schedule of meetings</act>. Afterwards, the coordination unit adds draft dates to all calendars. <act>check dates</act> . Before<act>recheck dates</act> , the support officer suggests modifications. After<act>look for potential conflicts</act>, <act>send final schedule of meeting dates</act>. <act>check diaries</act> . Afterwards, all independent members advise the coordination unit of any conflicts.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> recheck all dates </act> <act> suggest modifications </act> <act> look for potential conflicts </act> <act> send final schedule of meeting dates </act> <act> check diaries </act> <act> advise Coordination Unit </act>
The process starts when<act>draft schedule of meetings</act>. Next,<act>add draft dates</act>. <act>check dates</act> . When the support officer suggests modifications, <act>recheck dates</act> . <act>look for potential conflicts</act>. Later<act>send final schedule of meeting dates</act>. <act>check diaries</act> . Next,<act>advise coordination unit of conflicts</act>.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> suggest modifications </act> <act> recheck all dates </act> <act> look for potential conflicts </act> <act> send final schedule of meeting dates </act> <act> check diaries </act> <act> advise Coordination Unit </act>
First,<act>draft schedule of meetings for next calendar year</act>. Next,<act>add next draft dates</act>. <act>check dates</act> . <act>suggest modifications</act>. Then<act>recheck dates</act> . Before<act>send final schedule of meeting dates</act>, <act>look for potential conflicts</act>. <act>check diaries</act> . Thereafter<act>advise coordination unit of conflicts</act>.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> suggest modifications </act> <act> recheck all dates </act> <act> send final schedule of meeting dates </act> <act> look for potential conflicts </act> <act> check diaries </act> <act> advise Coordination Unit </act>
Initially<act>detect number of personnel requirements</act>. Before<act>wait i</act>, <act>report vacancy</act>. <act>ask for corrections</act>. <act>approve job description</act>. Subsequently<act>advertize job description</act>. Then<act>be i</act>.; <act> detect a number of personnel requirements </act> <act> wait for approval </act> <act> report vacancy </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>
First<act>detect number of personnel requirements</act>. Before<act>wait i</act>, <act>report vacancy</act>. <act>ask for corrections</act>. <act>approve job description</act>. Afterwards, the job description is advertized. Then<act>be i</act>.; <act> detect a number of personnel requirements </act> <act> wait for approval </act> <act> report vacancy </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>
The process starts when<act>detect number of personnel requirements</act>. After that,<act>report vacancy</act>. <act>wait i</act>. <act>ask for corrections</act>. <act>approve job description</act>. In the next step,<act>advertize job description</act>. Then<act>be i</act>.; <act> detect a number of personnel requirements </act> <act> report vacancy </act> <act> wait for approval </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>
First<act>detect number of personnel requirements</act>. After that,<act>report vacancy</act>. After that,<act>wait i</act>. <act>ask for corrections</act>. <act>approve job description</act>. Then<act>advertize job description</act>. Then<act>be i</act>.; <act> detect a number of personnel requirements </act> <act> report vacancy </act> <act> wait for approval </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>
Initially<act>detect number of personnel requirements</act>. Before<act>wait i</act>, <act>report vacancy</act>. <act>ask for corrections</act>. <act>approve job description</act>. Next<act>advertize job description</act>. Then<act>be i</act>.; <act> detect a number of personnel requirements </act> <act> wait for approval </act> <act> report vacancy </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>
First<act>report vacancy</act> . Thereafter<act>create job description</act>. In case there is still confusion in the message, <act>ask for further information</act>. Subsequently<act>submit job description</act> . <act>wait i</act>. Then<act>approve job description</act> . If the department requests a correction, Then<act>correct description</act>. Whenever the description is finally approved, <act>post job</act>.; <act> report vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> submit job description </act> <act> wait for approval </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> post job </act></path2>
Initially<act>receive vacancy</act>. Next<act>create job description</act>. In case there is still confusion in the message, <act>ask for further information</act>. After<act>submit job description</act>, <act>wait i</act>. In the next step,<act>approve job description</act>. But, the department can also happen that the department does not approve the department, Then <act>correct job description</act>. If the department approves the description, <act>post job</act>.; <act> receive vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> submit job description </act> <act> wait for approval </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> post job </act></path2>
First<act>receive vacancy</act>. Then<act>create job description</act>. If there is still confusion in the message, <act>ask for further information</act>. Before<act>wait i</act>, <act>submit job description</act>. Then<act>approve job description</act> . If the department rejects it, Then<act>correct description</act>. If the description is finally approved, <act>post job</act>.; <act> receive vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> wait for approval </act> <act> submit job description </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> post job </act></path2>
First<act>report vacancy</act> . Thereafter<act>create job description</act>. If there is still confusion in the message, <act>ask for further information</act>. After<act>submit job description</act>, <act>wait i</act>. Later<act>approve job description</act>. But, it can also happen that the department does not approve the department, Then <act>correct job description</act>. If the description is finally approved, the job is shared by me on social media.; <act> report vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> submit job description </act> <act> wait for approval </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> share job </act></path2>
Initially<act>report vacancy</act> . Subsequently<act>create job description</act>. Whenever there is still confusion in the message, <act>ask for further information</act>. <act>submit job description for consideration</act>. Subsequently<act>wait i</act>. <act>approve job description</act> . In case the department requests a correction, Then<act>correct description</act>. In case the description is finally approved, <act>publish job</act>.; <act> report vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> submit job description </act> <act> wait for approval </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> publish job </act></path2>
First<act>report vacancy</act>. When<act>publish post</act>, <act>apply </act>. After that,<act>check applications</act> . Next<act>fill post</act>.; <act> report vacancy </act> <act> publish post </act> <act> apply </act> <act> check applications </act> <act> fill post </act>
The process is triggered by the creation of a vacancy by a functional department . Once<act>publish post</act>, <act>apply </act>. After<act>check applications</act> , <act>fill post</act>.; <act> create vacancy </act> <act> publish post </act> <act> apply </act> <act> check applications </act> <act> fill post </act>
First<act>report vacancy</act>. After<act>publish post</act>, <act>apply </act>. Next,<act>assess applications</act>. Thereafter<act>fill post</act>.; <act> report vacancy </act> <act> publish post </act> <act> apply </act> <act> assess applications </act> <act> fill post </act>
The process starts when<act>create vacancy</act>. After<act>publish post</act>, <act>apply </act>. Before<act>fill post</act>, <act>evaluate applications</act>.; <act> create vacancy </act> <act> publish post </act> <act> apply </act> <act> fill post </act> <act> evaluate applications </act>
The process is triggered by the creation of a vacancy by a functional department . Then<act>advertise post</act>. Next,<act>apply </act>. Once<act>assess applications</act>, <act>fill post</act>.; <act> create vacancy </act> <act> advertise post </act> <act> apply </act> <act> assess applications </act> <act> fill post </act>
The process starts when<act>check open leads</act>. Subsequently<act>select top five ones</act>. He then tells his sales assistant <act>call contact person of leads</act>. If someone is interested, <act>send note</act>. <act>process lead</act>.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>
First<act>check open leads</act>. <act>select top five ones</act>. He then tells his sales assistant <act>call contact person of leads</act>. Whenever someone is interested, <act>send note</act>. <act>process lead</act>.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>
First<act>check open leads</act>. Later<act>select top five ones</act>. He then tells his sales assistant <act>call contact person of leads</act>. If someone is interested, <act>send note</act>. <act>process lead</act>.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>
Initially<act>check open leads</act>. Subsequently<act>select top five ones</act>. He then tells his sales assistant <act>call contact person of leads</act>. In case someone is interested, <act>send note</act>. Subsequently<act>process lead</act>.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>
First<act>check open leads</act>. Afterwards, the top five ones are selected by him. He then tells his sales assistant <act>call contact person of leads</act>. If someone is interested, <act>send note</act>. <act>process lead</act>.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>
The first step is <act>determine contact details of potential customers</act>. Then we start <act>contact customer</act>. Subsequently<act>ask customer</act> if he is interested. In case this is not the case, <act>leave customer</act>. If the customer is interested in the end, <act>perform detailed online presentation</act>. the customer is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. Later<act>wait we</act> for the customer to come back to us. If the customer does not contact us within 2 weeks, <act>call customer</act>. <act>be last phase</act>.; <act> determine contact details of potential customers </act> <act> contact customer </act> <act> ask customer if he is interested </act> <path1><act> leave customer alone </act></path1><path2><act> perform detailed online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>
First<act>be </act>. Once<act>call customer</act> , <act>ask customer</act> if he is interested. If this is not the case, <act>leave customer</act>. Whenever the customer is interested in the end, <act>give online presentation</act>. the customer is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. <act>wait we</act> for the customer to come back to us. In case we are not contacted within 2 weeks, <act>call customer</act>. <act>be last phase</act>.; <act> determine contact details of potential customers </act> <act> call customer </act> <act> ask customer if he is interested </act> <path1><act> leave customer alone </act></path1><path2><act> give online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>
The first step is <act>determine contact details of potential customers</act>. After<act>call customer</act> , <act>ask customer</act> if he is interested. Whenever this is not the case, <act>leave customer</act>. Whenever the customer is interested in the end, <act>give online presentation</act>. the customer is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. After that,<act>wait we</act> for the customer to come back to us. Whenever we are not contacted within 2 weeks, <act>call customer</act>. Next,<act>create quotation</act>.; <act> determine contact details of potential customers </act> <act> call customer </act> <act> ask customer if he is interested </act> <path1><act> leave customer alone </act></path1><path2><act> give online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>
The process starts when<act>determine contact details of potential customers</act>. Before<act>ask customer</act> if he is interested, we start <act>contact customer</act>. In case this is not the case, <act>leave customer</act>. If the customer is interested in the end, the next step is <act>perform detailed online presentation</act>. the next step is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. Thereafter<act>wait we</act> for the customer to come back to us. Whenever we are not contacted within 2 weeks, <act>call customer</act>. Next,<act>create quotation</act>.; <act> determine contact details of potential customers </act> <act> ask customer if he is interested </act> <act> contact customer </act> <path1><act> leave customer alone </act></path1><path2><act> perform detailed online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>
The process starts when<act>determine contact details of potential customers</act>. Later we start <act>call customer</act>. Afterwards, we ask the customer if he is interested. In case this is not the case, <act>leave customer</act>. If the customer is interested in the end, <act>give online presentation</act>. an online presentation is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. Next,<act>wait we</act> for the customer to come back to us. In case we are not contacted within 2 weeks, <act>call customer</act>. <act>create quotation</act>.; <act> determine contact details of potential customers </act> <act> call customer </act> <act> ask customer if he is interested </act> <path1><act> leave customer alone </act></path1><path2><act> give online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>
<act>receive new order</act>. <act>enter information</act>. The production planning system optimizes our production processes . Besides, The production planning system creates a list of parts to be procured. Unfortunately The production planning system is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need <act>decide whether parts are missing</act> . After that,<act>schedule production</act> to start. Once<act>receive notice</act> , <act>take care</act>. Next<act>check order</act>.; <act> receive new order </act> <act> enter information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> receive notice </act> <act> take care of implementation </act> <act> check order </act>
<act>receive new order</act>. In the next step,<act>enter into production planning system</act>. The production planning system optimizes our production processes . Besides, The production planning system creates a list of parts to be procured. Unfortunately The production planning system is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need <act>decide whether parts must be procured</act> . <act>schedule production</act> to start. Thereafter<act>receive notice</act> . After that,<act>take care</act>. After that,<act>check order</act>.; <act> receive new order </act> <act> enter information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> receive notice </act> <act> take care of implementation </act> <act> check order </act>
<act>receive new order</act>. Then<act>be information</act>. The production planning system optimizes our production processes . Besides, The production planning system creates a list of parts to be procured. Unfortunately The production planning system is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need <act>decide whether parts are missing</act> . Next<act>schedule next production</act> to start. Before<act>take care</act>, <act>receive notice</act> . <act>check order</act>.; <act> receive new order </act> <act> input information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> take care of implementation </act> <act> receive notice </act> <act> check order </act>
<act>receive new order</act>. Once that information is present, that information has to be entered into our production planning system . The production planning system optimizes our production processes . Besides, The production planning system creates a list of parts to be procured. Unfortunately The production planning system is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need <act>decide whether parts are missing</act> . <act>schedule production</act> to start. Before<act>take care</act>, <act>receive notice</act> . Next,<act>check order</act>.; <act> receive new order </act> <act> enter information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> take care of implementation </act> <act> receive notice </act> <act> check order </act>
<act>receive new order</act>. Then<act>enter into production planning system</act>. The production planning system optimizes our production processes . Besides, The production planning system creates a list of parts to be procured. Unfortunately The production planning system is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need <act>decide whether parts must be procured</act> . Later<act>schedule production</act> to start. Once<act>receive notice</act> , <act>take care</act>. Thereafter<act>check order</act>.; <act> receive new order </act> <act> enter information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> receive notice </act> <act> take care of implementation </act> <act> check order </act>
Initially<act>register request</act>. In the next step,<act>examine request</act> . If we reject request, the process ends. If we accept the request, <act>decide what to do with request</act>. Afterwards, the customer is informed about the outcome.; <act> register request </act> <act> examine request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>
First<act>receive request</act>. After that,<act>check request</act> . If the request is rejected, the process ends. In case we accept the request, <act>decide what to do with request</act>. Then<act>inform customer</act>.; <act> receive request </act> <act> check request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>
Initially<act>register request</act>. Subsequently<act>examine request</act>. If the request is rejected, the process ends. If we accept the request, <act>decide what to do with request</act>. Next<act>inform customer</act>.; <act> register request </act> <act> examine request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>
Initially<act>receive request</act>. <act>examine request</act>. Whenever the request is rejected, the process ends. Whenever we accept the request, <act>decide what to do with request</act>. Next,<act>inform customer</act>.; <act> receive request </act> <act> examine request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>
First<act>receive request</act>. Next,<act>examine request</act>. If we reject request, the process ends. If we accept the request, <act>decide what to do with request</act>. Next,<act>inform customer</act>.; <act> receive request </act> <act> examine request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>
First<act>place order</act>. After<act>send order</act>, <act>process order</act>. Then<act>send invoice</act> . Then<act>receive invoice</act>.; <act> place order </act> <act> send order </act> <act> process order </act> <act> send invoice </act> <act> receive invoice </act>
Initially<act>place order</act>. Before<act>process order</act>, <act>send order</act>. After<act>send invoice</act>, <act>receive invoice</act>.; <act> place order </act> <act> process order </act> <act> send order </act> <act> send invoice </act> <act> receive invoice </act>
Initially<act>place order</act>. When<act>send order</act>, <act>process order</act>. After<act>send invoice</act> , <act>receive invoice</act>.; <act> place order </act> <act> send order </act> <act> process order </act> <act> send invoice </act> <act> receive invoice </act>
Initially<act>place order</act>. Once<act>send order</act>, <act>process order</act>. When<act>send invoice</act>, <act>receive invoice</act>.; <act> place order </act> <act> send order </act> <act> process order </act> <act> send invoice </act> <act> receive invoice </act>
Initially<act>place order</act>. Thereafter<act>send order</act>. <act>process order</act>. Before<act>receive invoice</act>, <act>send invoice</act> .; <act> place order </act> <act> send order </act> <act> process order </act> <act> receive invoice </act> <act> send invoice </act>
The intake workflow starts when<act>receive telephone call</act>. Before<act>determine nursing officer of patient</act> , <act>inquire</act> file. Patient files are kept <act>produce two registration cards</act>. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> determine nursing officer </act> <act> inquire after name and residence </act> <act> record information </act> <act> hand in form </act> <act> print information </act> <act> save information </act> <path1><act> add patient </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> 
<act>receive telephone call</act> . When<act>inquire</act> file. Patient files are kept <act>produce two registration cards</act>. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> inquire after name and residence </act> <act> determine nursing officer </act> <act> make full inquiry </act> <act> hand in form </act> <act> store information </act> <act> print information </act> <path1><act> add patient </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> 
<act>receive telephone call</act> . Before<act>determine nursing officer of patient</act> , <act>inquire</act> file. Patient files are kept <act>produce two registration cards</act>. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> determine nursing officer </act> <act> inquire after name and residence </act> <act> make full inquiry </act> <act> hand in form </act> <act> store information </act> <act> print information </act> <path1><act> add patient </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> 
<act>receive telephone call</act> . After<act>inquire</act> file. Patient files are kept <act>produce two registration cards</act>. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> inquire after name and residence </act> <act> determine nursing officer </act> <act> make full inquiry </act> <act> hand in form </act> <act> save information </act> <act> print information </act> <path1><act> create patient file </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> 
The intake workflow starts when<act>receive telephone call</act>. When<act>inquire</act> file. Patient files are kept <act>produce two registration cards</act>. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> inquire after name and residence </act> <act> determine nursing officer </act> <act> make full inquiry </act> <act> hand in form </act> <act> store information </act> <act> print information </act> <path1><act> add patient </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> 
Initially<act>schedule staff meeting of entire medical team</act>. The medical team consists of medical workers, physicians, and a psychiatrist. Next<act>assign new patients on list</act>. Each patient will be assigned to a social worker, who will act as the first intaker of the patient. One of the physicians will act as the second intaker. In assigning intakers, the teamleader takes into account their expertise as well as the region they are responsible for. When<act>record assignments</act> , <act>hand recording</act>. <act>determine whether medical file of patient is required</act>, the secretarial office prepares a letter. <act>send letter</act>. As soon <act>receive copy</act>. <act>inform second intaker</act> . <act>add copy</act> . The first intaker plans a meeting with the patient as soon as this is possible. <act>examine patient</act> using a standard checklist which is filled out. Thereafter<act>register additional observations</act>. After a visit, the first intaker puts a copy of these notes in the file of a patient. <act>add standard checklist</act>. After that, the second intaker plans the first meeting . Physicians use dictaphones during meetings with patients. Next,<act>next</act>. Next,<act>add information</act>. <act>put patient</act>. <act>provide with list of patients</act>. <act>formulate treatment plan</act> formally ends the intake procedure.; <act> schedule staff meeting </act>  <act> assign new patients </act>    <act> record assignments </act> <act> hand recording </act> <path1><act> determine whether the medical file is required </act></path1> <act> add information </act> <act> store assignment </act>   <act> prepare letter </act> <act> send letter </act> <act> receive copy </act> <act> inform second intaker </act> <act> add copy </act> <act> plan meeting </act> <act> examine patient </act> <act> register additional observations </act> <act> put copy in file </act> <act> add standard checklist </act> <act> plan first meeting </act>  <act> type out tapes </act> <act> add information to patient file </act> <act> put patient on list </act> <act> provide teamleader with list </act> <act> formulate treatment plan </act> 
