;description;solution;id_description;clauses
92;After the process starts, a task is performed to locate and distribute any relevant existing designs, both electrical and physical. One checks to see whether the account defaulters table has new records. Then new records are found. If new returns exist, all defaulting accounts and customers are registered. In case the defaulting client codes have not been previously advised, another table of defaulting accounts are produced. All of this must be completed by 2:30 pm. In case it is not, an alert should be sent to the supervisor. Once the new defaulting account report has been completed, check the crm system to see whether new returns have been filed. If new returns have been filed, reconcile with the existing account defaulters table. This must be completed by 4:00 pm . Otherwise , a supervisor should be sent a message.; <act> locate and distribute any relevant existing designs </act> <act> check Account Defaulters table </act>  <path1><act> register all defaulting accounts and customers </act></path1><path2><act> produce another table of defaulting accounts </act></path2>  <path1><act> send alert </act></path1> <act> check CRM system </act> <path1><act> reconcile with existing account defaulters table </act></path1>  <path1><act> send message </act></path1>;92;['After the process starts', 'A task is performed', 'To locate and distribute any relevant existing designs both electrical and physical', 'One checks', 'To see', 'Whether the account defaulters table has new records', 'Then new records are found', 'If new returns exist', 'All defaulting accounts and customers are registered', 'In case the defaulting client codes have not been previously advised', 'Another table of defaulting accounts are produced', 'All of this must be completed by 230 pm', 'In case it is not', 'An alert should be sent to the supervisor', 'Once the new defaulting account report has been completed', 'Check the crm system', 'To see', 'Whether new returns have been filed', 'If new returns have been filed', 'Reconcile with the existing account defaulters table', 'This must be completed by 400 pm', 'Otherwise a supervisor should be sent a message']
93;First the expense report is received. A new account must be created. The report is then reviewed for approval. In case of rejection, an email is sent to the employee. Otherwise, the employee receives a reimbursement on his direct deposit bank account. Thereafter the employee must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>;93;['First the expense report is received', 'A new account must be created', 'The report is then reviewed for approval', 'In case of rejection an email is sent to the employee', 'Otherwise the employee receives a reimbursement on his direct deposit bank account', 'Thereafter the employee must receive a confirmation mail']
94;Initially the expense report is received. Subsequently a new account must be created. The report is then reviewed for approval. In case of rejection, an email is sent to the employee. Otherwise, the employee receives a reimbursement on his direct deposit bank account. Thereafter the employee must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>;94;['Initially the expense report is received', 'Subsequently a new account must be created', 'The report is then reviewed for approval', 'In case of rejection an email is sent to the employee', 'Otherwise the employee receives a reimbursement on his direct deposit bank account', 'Thereafter the employee must receive a confirmation mail']
95;First the expense report is received. In the next step, a new account must be created. The report is then reviewed for approval. In case of rejection, an email is sent to the employee. Otherwise, the employee receives a reimbursement on his direct deposit bank account. Next, the employee must receive a confirmation mail.; <act> receive expense report </act>  <act> create new account </act> <act> review report for approval </act> <path1><act> send email </act></path1><path2><act> receive reimbursement </act></path2> <act> receive confirmation mail </act>;95;['First the expense report is received', 'In the next step a new account must be created', 'The report is then reviewed for approval', 'In case of rejection an email is sent to the employee', 'Otherwise the employee receives a reimbursement on his direct deposit bank account', 'Next the employee must receive a confirmation mail']
96;Once the dates are finalized (by the coordination unit), the support officer updates all group calendars. Before the support officer ensures all appropriate documents are uploaded to system, the support officer creates meeting folders for each meeting . When committee members are advised a week before each meeting to read all related documents, the committee members hold their meeting. The support office then produces minutes including any action points for each committee member. Within 5 working days, the coordination unit must conduct a qa check, which are then sent to all committee members. The support officer then updates all departmental records.; <act> finalize dates </act> <act> update all group calendars </act> <act> upload all appropriate documents to the system </act> <act> create meeting folders </act>  <act> read all related documents </act> <act> hold meeting </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>;96;['Once the dates are finalized lrb by the coordination unit rrb', 'The support officer updates all group calendars', 'Before the support officer ensures', 'The support officer creates meeting folders for each meeting', 'All appropriate documents are uploaded to system', 'When committee members are advised a week before each meeting', 'To read all related documents', 'The committee members hold their meeting', 'The support office then produces minutes including any action points for each committee member', 'Within 5 working days the coordination unit must conduct a qa check', 'Which are then sent to all committee members', 'The support officer then updates all departmental records']
97;Once the dates are finalized (by the coordination unit), the support officer updates all group calendars. Before the support officer ensures all appropriate documents are uploaded to system, the support officer creates meeting folders for each meeting . Subsequently committee members are advised a week before each meeting to read all related documents. Subsequently the committee members hold their meeting. The support office then produces minutes including any action points for each committee member. Within 5 working days, the coordination unit must conduct a qa check, which are then sent to all committee members. The support officer then updates all departmental records.; <act> finalize dates </act> <act> update all group calendars </act> <act> upload all appropriate documents to the system </act> <act> create meeting folders </act>  <act> read all related documents </act> <act> hold meeting </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>;97;['Once the dates are finalized lrb by the coordination unit rrb', 'The support officer updates all group calendars', 'Before the support officer ensures', 'The support officer creates meeting folders for each meeting', 'All appropriate documents are uploaded to system', 'Subsequently committee members are advised a week before each meeting', 'To read all related documents', 'Subsequently the committee members hold their meeting', 'The support office then produces minutes including any action points for each committee member', 'Within 5 working days the coordination unit must conduct a qa check', 'Which are then sent to all committee members', 'The support officer then updates all departmental records']
98;Once the dates are finalized (by the coordination unit), the support officer updates all group calendars. Before the support officer ensures all appropriate documents are uploaded to system, the support officer creates meeting folders for each meeting . After committee members are advised a week before each meeting to read all related documents, the committee members hold their meeting. The support office then produces minutes including any action points for each committee member. Within 5 working days, the coordination unit must conduct a qa check, which are then sent to all committee members. The support officer then updates all departmental records.; <act> finalize dates </act> <act> update all group calendars </act> <act> upload all appropriate documents to the system </act> <act> create meeting folders </act>  <act> read all related documents </act> <act> hold meeting </act> <act> produce minutes </act> <act> conduct QA check </act> <act> send QA check to all Committee Members </act> <act> update all departmental records </act>;98;['Once the dates are finalized lrb by the coordination unit rrb', 'The support officer updates all group calendars', 'Before the support officer ensures', 'The support officer creates meeting folders for each meeting', 'All appropriate documents are uploaded to system', 'After committee members are advised a week before each meeting', 'To read all related documents', 'The committee members hold their meeting', 'The support office then produces minutes including any action points for each committee member', 'Within 5 working days the coordination unit must conduct a qa check', 'Which are then sent to all committee members', 'The support officer then updates all departmental records']
99;The process starts when the coordination unit drafts a schedule of meetings for the next calendar year. In the next step, the coordination unit adds draft dates to all calendars. The support officer then checks the dates . Before the coordination unit rechecks all dates , the support officer suggests modifications. Before the final schedule of meeting dates is sent to all the independent committee members by email, the coordination unit looks for potential conflicts. All independent committee members then check their diaries . Later all independent members advise the coordination unit of any conflicts.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> recheck all dates </act> <act> suggest modifications </act> <act> send final schedule of meeting dates </act> <act> look for potential conflicts </act> <act> check diaries </act> <act> advise Coordination Unit </act>;99;['The process starts', 'When the coordination unit drafts a schedule of meetings for the next calendar year', 'In the next step the coordination unit adds draft dates to all calendars', 'The support officer then checks the dates', 'Before the coordination unit rechecks all dates', 'The support officer suggests modifications', 'Before the final schedule of meeting dates is sent to all the independent committee members by email', 'The coordination unit looks for potential conflicts', 'All independent committee members then check their diaries', 'Later all independent members advise the coordination unit of any conflicts']
100;First, the coordination unit drafts a schedule of meetings for the next calendar year. Draft dates are added to all calendars by the coordination unit. The support officer then checks the dates . After that, the support officer suggests modifications. In the next step, the coordination unit rechecks all dates . After the coordination unit looks for potential conflicts, the final schedule of meeting dates is sent to all the independent committee members by email. All independent committee members then check their diaries . All independent members advise the coordination unit of any conflicts.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> suggest modifications </act> <act> recheck all dates </act> <act> look for potential conflicts </act> <act> send final schedule of meeting dates </act> <act> check diaries </act> <act> advise Coordination Unit </act>;100;['First the coordination unit drafts a schedule of meetings for the next calendar year', 'Draft dates are added to all calendars by the coordination unit', 'The support officer then checks the dates', 'After that the support officer suggests modifications', 'In the next step the coordination unit rechecks all dates', 'After the coordination unit looks for potential conflicts', 'The final schedule of meeting dates is sent to all the independent committee members by email', 'All independent committee members then check their diaries', 'All independent members advise the coordination unit of any conflicts']
101;In november of each year, the coordination unit drafts a schedule of meetings for the next calendar year. After that, the coordination unit adds draft dates to all calendars. The support officer then checks the dates . When the support officer suggests modifications, the coordination unit rechecks all dates . Next the coordination unit looks for potential conflicts. Thereafter the final schedule of meeting dates is sent to all the independent committee members by email. After the diaries of all independent members are checked , all independent members advise the coordination unit of any conflicts.; <act> draft schedule of meetings </act> <act> add draft dates </act> <act> check dates </act>  <act> suggest modifications </act> <act> recheck all dates </act> <act> look for potential conflicts </act> <act> send final schedule of meeting dates </act> <act> check diaries </act> <act> advise Coordination Unit </act>;101;['In november of each year the coordination unit drafts a schedule of meetings for the next calendar year', 'After that the coordination unit adds draft dates to all calendars', 'The support officer then checks the dates', 'When the support officer suggests modifications', 'The coordination unit rechecks all dates', 'Next the coordination unit looks for potential conflicts', 'Thereafter the final schedule of meeting dates is sent to all the independent committee members by email', 'After the diaries of all independent members are checked', 'All independent members advise the coordination unit of any conflicts']
102;Initially i detect a number of personnel requirements. Before i wait for approval, i report the vacancy to the personnel department. Under certain circumstances, i must ask for corrections again. Otherwise i approve the job description. Next the job description is advertized. Then i am available for clarifications, of course.; <act> detect a number of personnel requirements </act> <act> wait for approval </act> <act> report vacancy </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>;102;['Initially i detect a number of personnel requirements', 'Before i wait for approval', 'I report the vacancy to the personnel department', 'Under certain circumstances i must ask for corrections again', 'Otherwise i approve the job description', 'Next the job description is advertized', 'Then i am available for clarifications of course']
103;Initially i detect a number of personnel requirements. When i report the vacancy to the personnel department, i wait for approval. Under certain circumstances, i must ask for corrections again. Otherwise i approve the job description. Next, the job description is advertized. Then i am available for clarifications, of course.; <act> detect a number of personnel requirements </act> <act> report vacancy </act> <act> wait for approval </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>;103;['Initially i detect a number of personnel requirements', 'When i report the vacancy to the personnel department', 'I wait for approval', 'Under certain circumstances i must ask for corrections again', 'Otherwise i approve the job description', 'Next the job description is advertized', 'Then i am available for clarifications of course']
104;The process starts when i detect a number of personnel requirements. Thereafter i report the vacancy to the personnel department. I wait for approval. Under certain circumstances, i must ask for corrections again. Otherwise i approve the job description. After that, the job description is advertized. Then i am available for clarifications, of course.; <act> detect a number of personnel requirements </act> <act> report vacancy </act> <act> wait for approval </act> <act> ask for corrections </act> <act> approve job description </act> <act> advertize job description </act> <act> be available for clarifications </act>;104;['The process starts', 'When i detect a number of personnel requirements', 'Thereafter i report the vacancy to the personnel department', 'I wait for approval', 'Under certain circumstances i must ask for corrections again', 'Otherwise i approve the job description', 'After that the job description is advertized', 'Then i am available for clarifications of course']
105;First a vacancy is reported to me. Afterwards, i create a job description from the information. In case there is still confusion in the message, i must ask the department for further information. Once i am submitting the job description for consideration, i wait for approval. The department normally approves the job description. But, it can also happen that the department does not approve it, Then I correct the description. If the description is finally approved, the job is posted by me.; <act> report vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> submit job description </act> <act> wait for approval </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> post job </act></path2>;105;['First a vacancy is reported to me', 'Afterwards i create a job description from the information', 'In case there is still confusion in the message', 'I must ask the department for further information', 'Once i am submitting the job description for consideration', 'I wait for approval', 'The department normally approves the job description', 'But  then', 'It can also happen', 'That the department does not approve it', 'I correct the description', 'If the description is finally approved', 'The job is posted by me']
106;The process starts when someone reports a vacancy to me . Afterwards, i create a job description from the information. If there is still confusion in the message, i must ask the department for further information. Before i wait for approval, the job description is submitted by me . Later the department normally approves the job description. Whenever the department requests a correction, Then I correct the description. If the department approves the description, I publish the job.; <act> report vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> wait for approval </act> <act> submit job description </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> publish job </act></path2>;106;['The process starts', 'When someone reports a vacancy to me', 'Afterwards i create a job description from the information', 'If there is still confusion in the message', 'I must ask the department for further information', 'Before i wait for approval', 'The job description is submitted by me', 'Later the department normally approves the job description', 'Whenever the department requests a correction', 'Then i correct the description', 'If the department approves the description', 'I publish the job']
107;The process starts when someone reports a vacancy to me . In the next step, i create a job description from the information. In case there is still confusion in the message, i must ask the department for further information. When i submit the job description, i wait for approval. Afterwards, the job description is normally approved by the department . Whenever the department rejects it, Then I correct the description. Whenever the description is finally approved, the job is shared by me on social media.; <act> report vacancy </act> <act> create job description </act> <path1><act> ask department </act></path1> <act> submit job description </act> <act> wait for approval </act> <act> approve job description </act> <path1><act> correct description </act> </path1><path2><act> share job </act></path2>;107;['The process starts', 'When someone reports a vacancy to me', 'In the next step i create a job description from the information', 'In case there is still confusion in the message', 'I must ask the department for further information', 'When i submit the job description', 'I wait for approval', 'Afterwards the job description is normally approved by the department', 'Whenever the department rejects it', 'Then i correct the description', 'Whenever the description is finally approved', 'The job is shared by me on social media']
108;First a functional department reports a vacancy. When the post is published by the hr department, applicants apply. After that, the applications are evaluated by the hr manager. The post is filled.; <act> report vacancy </act> <act> publish post </act> <act> apply </act> <act> evaluate applications </act> <act> fill post </act>;108;['First a functional department reports a vacancy', 'When the post is published by the hr department', 'Applicants apply', 'After that the applications are evaluated by the hr manager', 'The post is filled']
109;The process starts when a functional department creates a vacancy. After the post is advertised, applicants apply. When the hr manager assesses the applications, the post is filled.; <act> create vacancy </act> <act> advertise post </act> <act> apply </act> <act> assess applications </act> <act> fill post </act>;109;['The process starts', 'When a functional department creates a vacancy', 'After the post is advertised', 'Applicants apply', 'When the hr manager assesses the applications', 'The post is filled']
110;Initially a functional department creates a vacancy. Once the hr department publishes the post, applicants apply. Once the applications are assessed by the hr manager, the post is filled.; <act> create vacancy </act> <act> publish post </act> <act> apply </act> <act> assess applications </act> <act> fill post </act>;110;['Initially a functional department creates a vacancy', 'Once the hr department publishes the post', 'Applicants apply', 'Once the applications are assessed by the hr manager', 'The post is filled']
111;Initially the manager checks the open leads. The top five ones are selected by him. He then tells his sales assistant to call the contact person of the leads. If someone is interested, he sends a note to the manager. The manager processes the lead.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>;111;['Initially the manager checks the open leads', 'The top five ones are selected by him', 'He then tells his sales assistant', 'To call the contact person of the leads', 'If someone is interested', 'He sends a note to the manager', 'The manager processes the lead']
112;Initially the open leads are checked by the manager. Afterwards, the top five ones are selected by him. He then tells his sales assistant to call the contact person of the leads. If someone is interested, he sends a note to the manager. Then the manager processes the lead.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>;112;['Initially the open leads are checked by the manager', 'Afterwards the top five ones are selected by him', 'He then tells his sales assistant', 'To call the contact person of the leads', 'If someone is interested', 'He sends a note to the manager', 'Then the manager processes the lead']
113;The process starts when the open leads are checked by the manager. Next the top five ones are selected by him. He then tells his sales assistant to call the contact person of the leads. If someone is interested, he sends a note to the manager. Afterwards, the lead is processed by the manager.; <act> check open leads </act> <act> select top five ones </act> <act> call contact person </act> <path1><act> send note </act></path1> <act> process lead </act>;113;['The process starts', 'When the open leads are checked by the manager', 'Next the top five ones are selected by him', 'He then tells his sales assistant', 'To call the contact person of the leads', 'If someone is interested', 'He sends a note to the manager', 'Afterwards the lead is processed by the manager']
114;The process starts when the contact details of potential customers are determined. Before we ask the customer if he is interested, we contact the customer. Whenever this is not the case, the customer is left alone. If the customer is interested in the end, we perform a detailed online presentation. It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. Next we are waiting for the customer to come back to us. If we are not contacted within 2 weeks, the customer is called by a sales representative. Then a quotation is created by us.; <act> determine contact details of potential customers </act> <act> ask customer if he is interested </act> <act> contact customer </act> <path1><act> leave customer alone </act></path1><path2><act> perform detailed online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>;114;['The process starts', 'When the contact details of potential customers are determined', 'Before we ask the customer', 'If he is interested', 'We contact the customer', 'Whenever this is not the case', 'The customer is left alone', 'If the customer is interested in the end', 'We perform a detailed online presentation', 'It is given  in case of a more technical presentation', 'Either by a sales representative or by a pre sales employee', 'Next we are waiting', 'For the customer to come back to us', 'If we are not contacted within 2 weeks', 'The customer is called by a sales representative', 'Then a quotation is created by us']
115;First the contact details of potential customers are determined. When the customer is contacted by us , we ask the customer if he is interested. In case this is not the case, we leave the customer alone. If the customer is interested in the end, the next step is performing a detailed online presentation. It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. We wait for the customer to come back to us. If we are not contacted within 2 weeks, the customer is called by a sales representative. Then we create a quotation.; <act> determine contact details of potential customers </act> <act> contact customer </act> <act> ask customer if he is interested </act> <path1><act> leave customer alone </act></path1><path2><act> perform detailed online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>;115;['First the contact details of potential customers are determined', 'When the customer is contacted by us', 'We ask the customer', 'If he is interested', 'In case this is not the case', 'We leave the customer alone', 'If the customer is interested in the end', 'The next step is', 'Performing a detailed online presentation', 'It is given  in case of a more technical presentation', 'Either by a sales representative or by a pre sales employee', 'We wait', 'For the customer to come back to us', 'If we are not contacted within 2 weeks', 'The customer is called by a sales representative', 'Then we create a quotation']
116;The process starts when the contact details of potential customers are determined. Before we ask the customer if he is interested, the customer is contacted by us . Whenever this is not the case, the customer is left alone. Whenever the customer is interested in the end, an online presentation is given by us. It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. After that, we are waiting for the customer to come back to us. If we are not contacted within 2 weeks, the customer is called by a sales representative. Thereafter we create a quotation.; <act> determine contact details of potential customers </act> <act> ask customer if he is interested </act> <act> contact customer </act> <path1><act> leave customer alone </act></path1><path2><act> give online presentation </act></path2>  <act> wait for customer </act> <path1><act> call customer </act></path1> <act> create quotation </act>;116;['The process starts', 'When the contact details of potential customers are determined', 'Before we ask the customer', 'If he is interested', 'The customer is contacted by us', 'Whenever this is not the case', 'The customer is left alone', 'Whenever the customer is interested in the end', 'An online presentation is given by us', 'It is given  in case of a more technical presentation', 'Either by a sales representative or by a pre sales employee', 'After that we are waiting', 'For the customer to come back to us', 'If we are not contacted within 2 weeks', 'The customer is called by a sales representative', 'Thereafter we create a quotation']
117;Everytime we receive a new order from the sales department. After that, the information is entered into our production planning system. The production planning system optimizes our production processes . Besides, it creates a list of parts to be procured. Unfortunately it is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need to decide whether any parts are missing . Afterwards, production is scheduled to start. When we receive a notice from the system , an employee takes care of the implementation. Then the order will be checked again for its quality.; <act> receive new order </act> <act> enter information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> receive notice </act> <act> take care of implementation </act> <act> check order </act>;117;['Everytime we receive a new order from the sales department', 'After that the information is entered into our production planning system', 'The production planning system optimizes our production processes', 'Besides it creates a list of parts', 'To be procured', 'Unfortunately it is not coupled correctly to our enterprise resource planning system', 'By the way that is the second step', 'Once all the data is present', 'We need', 'To decide whether any parts are missing', 'Afterwards production is scheduled', 'To start', 'When we receive a notice from the system', 'An employee takes care of the implementation', 'Then the order will be checked again for its quality']
118;Everytime we receive a new order from the sales department. We enter the information into our production planning system. The production planning system optimizes our production processes . Besides, it creates a list of parts to be procured. Unfortunately it is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need to decide whether any parts must be procured . Production is scheduled to start. After that, we receive a notice from the system . Then an employee takes care of the implementation. Next, the order will be checked again for its quality.; <act> receive new order </act> <act> enter information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> receive notice </act> <act> take care of implementation </act> <act> check order </act>;118;['Everytime we receive a new order from the sales department', 'We enter the information into our production planning system', 'The production planning system optimizes our production processes', 'Besides it creates a list of parts', 'To be procured', 'Unfortunately it is not coupled correctly to our enterprise resource planning system', 'By the way that is the second step', 'Once all the data is present', 'We need', 'To decide whether any parts must be procured', 'Production is scheduled', 'To start', 'After that we receive a notice from the system', 'Then an employee takes care of the implementation', 'Next the order will be checked again for its quality']
119;Everytime we receive a new order from the sales department. Later we put the information into our production planning system. The production planning system optimizes our production processes . Besides, it creates a list of parts to be procured. Unfortunately it is not coupled correctly to our enterprise resource planning system . By the way, that is the second step. Once all the data is present, we need to decide whether any parts must be procured . Then production is scheduled to start. When we receive a notice from the system , an employee takes care of the implementation. Afterwards, the order will be checked again for its quality.; <act> receive new order </act> <act> put information into production planning system </act>     <act> decide </act> <act> schedule production to start </act> <act> receive notice </act> <act> take care of implementation </act> <act> check order </act>;119;['Everytime we receive a new order from the sales department', 'Later we put the information into our production planning system', 'The production planning system optimizes our production processes', 'Besides it creates a list of parts', 'To be procured', 'Unfortunately it is not coupled correctly to our enterprise resource planning system', 'By the way that is the second step', 'Once all the data is present', 'We need', 'To decide whether any parts must be procured', 'Then production is scheduled', 'To start', 'When we receive a notice from the system', 'An employee takes care of the implementation', 'Afterwards the order will be checked again for its quality']
120;Initially the request is received at the service desk. Then the request is checked . If we reject request, the process ends. If we accept the request, we decide what to do with the request. Next, we inform the customer about the outcome of the request handling process.; <act> receive request </act> <act> check request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>;120;['Initially the request is received at the service desk', 'Then the request is checked', 'If we reject request', 'The process ends', 'If we accept the request', 'We decide what to do with the request', 'Next we inform the customer about the outcome of the request handling process']
121;Initially the request is received at the service desk. The request is checked . If we reject request, the process ends. If we accept the request, we decide what to do with the request. Next the customer is informed about the outcome.; <act> receive request </act> <act> check request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>;121;['Initially the request is received at the service desk', 'The request is checked', 'If we reject request', 'The process ends', 'If we accept the request', 'We decide what to do with the request', 'Next the customer is informed about the outcome']
122;The process starts when we register the request in our database. Then the request is checked . If the request is rejected, the process ends. If we accept the request, we decide what to do with the request. Subsequently the customer is informed about the outcome.; <act> register request </act> <act> check request </act> <path1></path1><path2><act> decide what to do with the request </act></path2> <act> inform customer </act>;122;['The process starts', 'When we register the request in our database', 'Then the request is checked', 'If the request is rejected', 'The process ends', 'If we accept the request', 'We decide what to do with the request', 'Subsequently the customer is informed about the outcome']
123;Initially the assembler places an order with the supplier. Before the supplier processes the order, the order is sent to the supplier. Before assembler ag receives the invoice, the supplier sends an invoice to assembler ag.; <act> place order </act> <act> process order </act> <act> send order </act> <act> receive invoice </act> <act> send invoice </act>;123;['Initially the assembler places an order with the supplier', 'Before the supplier processes the order', 'The order is sent to the supplier', 'Before assembler ag receives the invoice', 'The supplier sends an invoice to assembler ag']
124;The process starts periodically on the first of each month, when assembler ag places an order with the supplier . After the order is sent to the supplier, the supplier processes the order. Before assembler ag receives the invoice, the supplier sends an invoice to assembler ag.; <act> place order </act> <act> send order </act> <act> process order </act> <act> receive invoice </act> <act> send invoice </act>;124;['The process starts periodically on the first of each month', 'When assembler ag places an order with the supplier', 'After the order is sent to the supplier', 'The supplier processes the order', 'Before assembler ag receives the invoice', 'The supplier sends an invoice to assembler ag']
125;The process starts when an order is placed with the supplier. When the order is sent to the supplier, the supplier processes the order. When an invoice is sent by the supplier to the assembler , assembler ag receives the invoice.; <act> place order </act> <act> send order </act> <act> process order </act> <act> send invoice </act> <act> receive invoice </act>;125;['The process starts', 'When an order is placed with the supplier', 'When the order is sent to the supplier', 'The supplier processes the order', 'When an invoice is sent by the supplier to the assembler', 'Assembler ag receives the invoice']
126;A telephone call is received by the secretarial worker . Before the secretarial worker determines the nursing officer of the patient , the secretarial worker inquires after the name and residence of the patient. Later this information of the patient is recorded by the nursing officer . At the end of the conversation, this form is handed in at the secretarial office of the institute. Before the secretarial worker prints the information on a paper, the secretarial worker stores the information in the information system. If the patient is new, a patient file is created. In the next step, the registration form is stored in the patient file. Patient files are kept at the secretarial office and may not leave the building. At the secretarial office, two registration cards are produced. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> determine nursing officer </act> <act> inquire after name and residence </act> <act> record information </act> <act> hand in form </act> <act> print information </act> <act> store information </act> <path1><act> create patient file </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> ;126;['A telephone call is received by the secretarial worker', 'Before the secretarial worker determines the nursing officer of the patient', 'The secretarial worker inquires after the name and residence of the patient', 'Later this information of the patient is recorded by the nursing officer', 'At the end of the conversation this form is handed in at the secretarial office of the institute', 'Before the secretarial worker prints the information on a paper', 'The secretarial worker stores the information in the information system', 'If the patient is new', 'A patient file is created', 'In the next step the registration form is stored in the patient file', 'Patient files are kept at the secretarial office and may not leave the building', 'At the secretarial office two registration cards are produced', 'The registration card contains a set of basic patient data']
127;The intake workflow starts when the secretarial office receives a telephone call. Subsequently the secretarial worker inquires after the name and residence of the patient. Subsequently the secretarial worker determines the nursing officer of the patient . After that, this information of the patient is recorded by the nursing officer . At the end of the conversation, this form is handed in at the secretarial office of the institute. When the secretarial worker saves the information in the information system, the secretarial worker prints the information on a paper. For new patients, a patient file is created. The registration form is stored in the patient file. Patient files are kept at the secretarial office and may not leave the building. At the secretarial office, two registration cards are produced. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> inquire after name and residence </act> <act> determine nursing officer </act> <act> record information </act> <act> hand in form </act> <act> save information </act> <act> print information </act> <path1><act> create patient file </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> ;127;['The intake workflow starts', 'When the secretarial office receives a telephone call', 'Subsequently the secretarial worker inquires after the name and residence of the patient', 'Subsequently the secretarial worker determines the nursing officer of the patient', 'After that this information of the patient is recorded by the nursing officer', 'At the end of the conversation this form is handed in at the secretarial office of the institute', 'When the secretarial worker saves the information in the information system', 'The secretarial worker prints the information on a paper', 'For new patients a patient file is created', 'The registration form is stored in the patient file', 'Patient files are kept at the secretarial office and may not leave the building', 'At the secretarial office two registration cards are produced', 'The registration card contains a set of basic patient data']
128;A telephone call is received by the secretarial worker . After the secretarial worker inquires after the name and residence of the patient, the secretarial worker determines the nursing officer of the patient . Next this information of the patient is recorded by the nursing officer . At the end of the conversation, this form is handed in at the secretarial office of the institute. Before the secretarial worker prints the information on a paper, the secretarial worker saves the information in the information system. Whenever the patient is new, the patient is added to the list. Later the registration form is stored in the patient file. Patient files are kept at the secretarial office and may not leave the building. At the secretarial office, two registration cards are produced. The registration card contains a set of basic patient data.; <act> receive telephone call </act> <act> inquire after name and residence </act> <act> determine nursing officer </act> <act> record information </act> <act> hand in form </act> <act> print information </act> <act> save information </act> <path1><act> add patient </act></path1> <act> store registration form </act>  <act> produce two registration cards </act> ;128;['A telephone call is received by the secretarial worker', 'After the secretarial worker inquires after the name and residence of the patient', 'The secretarial worker determines the nursing officer of the patient', 'Next this information of the patient is recorded by the nursing officer', 'At the end of the conversation this form is handed in at the secretarial office of the institute', 'Before the secretarial worker prints the information on a paper', 'The secretarial worker saves the information in the information system', 'Whenever the patient is new', 'The patient is added to the list', 'Later the registration form is stored in the patient file', 'Patient files are kept at the secretarial office and may not leave the building', 'At the secretarial office two registration cards are produced', 'The registration card contains a set of basic patient data']
